"ts","trigger","day","week","month"
2019-03-25 20:05:00,"Iced latte",2019-03-26,2019-03-24,2019-03-01
2019-03-25 17:45:00,"Lactose-free milk",2019-03-26,2019-03-24,2019-03-01
2019-03-25 17:45:00,"Honey bunches of oats",2019-03-26,2019-03-24,2019-03-01
2019-03-25 05:00:00,"Peanut butter",2019-03-25,2019-03-24,2019-03-01
2019-03-25 05:00:00,"White bread",2019-03-25,2019-03-24,2019-03-01
2019-03-24 23:45:00,"Lactose-free milk",2019-03-25,2019-03-24,2019-03-01
2019-03-24 23:45:00,"Kebab sandwich",2019-03-25,2019-03-24,2019-03-01
2019-03-24 23:45:00,"Squash",2019-03-25,2019-03-24,2019-03-01
2019-03-24 23:45:00,"Eggplant",2019-03-25,2019-03-24,2019-03-01
2019-03-24 23:45:00,"Peanut butter panda puffs",2019-03-25,2019-03-24,2019-03-01
2019-03-24 08:20:00,"Cake",2019-03-24,2019-03-24,2019-03-01
2019-03-24 04:40:00,"Bread",2019-03-24,2019-03-24,2019-03-01
2019-03-24 04:40:00,"Cheese",2019-03-24,2019-03-24,2019-03-01
2019-03-24 04:40:00,"Red wine",2019-03-24,2019-03-24,2019-03-01
2019-03-24 04:40:00,"Pasta",2019-03-24,2019-03-24,2019-03-01
2019-03-23 05:05:00,"Red wine",2019-03-23,2019-03-17,2019-03-01
2019-03-23 05:05:00,"Pizza",2019-03-23,2019-03-17,2019-03-01
2019-03-23 23:25:00,"Coffee",2019-03-24,2019-03-24,2019-03-01
2019-03-23 23:25:00,"Lactose-free milk",2019-03-24,2019-03-24,2019-03-01
2019-03-23 23:25:00,"Sugar",2019-03-24,2019-03-24,2019-03-01
2019-03-23 19:50:00,"Lactose-free milk",2019-03-24,2019-03-24,2019-03-01
2019-03-23 19:50:00,"Pizza",2019-03-24,2019-03-24,2019-03-01
2019-03-23 19:50:00,"Honey bunches of oats",2019-03-24,2019-03-24,2019-03-01
2019-03-23 20:40:00,"Coffee",2019-03-24,2019-03-24,2019-03-01
2019-03-23 02:30:00,"Clif bar",2019-03-23,2019-03-17,2019-03-01
2019-03-22 21:25:00,"Sandwich",2019-03-23,2019-03-17,2019-03-01
2019-03-22 17:20:00,"Peanut butter panda puffs",2019-03-23,2019-03-17,2019-03-01
2019-03-22 17:20:00,"Lactose-free milk",2019-03-23,2019-03-17,2019-03-01
2019-03-22 05:10:00,"Banana",2019-03-22,2019-03-17,2019-03-01
2019-03-21 16:00:00,"Clif bar",2019-03-21,2019-03-17,2019-03-01
2019-03-21 20:15:00,"Noodle dish",2019-03-22,2019-03-17,2019-03-01
2019-03-21 20:10:00,"Honey bunches of oats",2019-03-22,2019-03-17,2019-03-01
2019-03-21 20:10:00,"Noodle dish",2019-03-22,2019-03-17,2019-03-01
2019-03-21 19:30:00,"Noodle dish",2019-03-22,2019-03-17,2019-03-01
2019-03-21 06:55:00,"Lactose-free milk",2019-03-21,2019-03-17,2019-03-01
2019-03-21 06:55:00,"Honey bunches of oats",2019-03-21,2019-03-17,2019-03-01
2019-03-21 02:00:00,"Kebab sandwich",2019-03-21,2019-03-17,2019-03-01
2019-03-21 02:00:00,"Lactose-free milk",2019-03-21,2019-03-17,2019-03-01
2019-03-21 02:00:00,"Peanut butter panda puffs",2019-03-21,2019-03-17,2019-03-01
2019-03-20 23:15:00,"Sandwich",2019-03-21,2019-03-17,2019-03-01
2019-03-20 22:00:00,"Iced latte",2019-03-21,2019-03-17,2019-03-01
2019-03-20 16:45:00,"Lactose-free milk",2019-03-20,2019-03-17,2019-03-01
2019-03-20 16:45:00,"Toast",2019-03-20,2019-03-17,2019-03-01
2019-03-20 16:45:00,"Avocado",2019-03-20,2019-03-17,2019-03-01
2019-03-20 16:45:00,"Honey bunches of oats",2019-03-20,2019-03-17,2019-03-01
2019-03-20 16:45:00,"Eggs",2019-03-20,2019-03-17,2019-03-01
2019-03-20 06:05:00,"Protein shake",2019-03-20,2019-03-17,2019-03-01
2019-03-20 04:30:00,"Protein shake",2019-03-20,2019-03-17,2019-03-01
2019-03-19 20:30:00,"Avocado",2019-03-20,2019-03-17,2019-03-01
2019-03-19 20:30:00,"Eggs",2019-03-20,2019-03-17,2019-03-01
2019-03-19 19:00:00,"Coffee",2019-03-20,2019-03-17,2019-03-01
2019-03-19 18:30:00,"Toast",2019-03-20,2019-03-17,2019-03-01
2019-03-19 18:30:00,"Avocado",2019-03-20,2019-03-17,2019-03-01
2019-03-19 18:30:00,"Eggs",2019-03-20,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Spinach",2019-03-19,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Squash",2019-03-19,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Eggplant",2019-03-19,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Eggs",2019-03-19,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Tomato",2019-03-19,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Cheese",2019-03-19,2019-03-17,2019-03-01
2019-03-19 03:10:00,"Potatoes",2019-03-19,2019-03-17,2019-03-01
2019-03-18 20:20:00,"Sandwich",2019-03-19,2019-03-17,2019-03-01
2019-03-18 21:20:00,"Coffee",2019-03-19,2019-03-17,2019-03-01
2019-03-18 18:15:00,"Coffee",2019-03-19,2019-03-17,2019-03-01
2019-03-18 17:00:00,"Clif bar",2019-03-19,2019-03-17,2019-03-01
2019-03-18 05:30:00,"Lactose-free milk",2019-03-18,2019-03-17,2019-03-01
2019-03-18 05:30:00,"Panda puffs",2019-03-18,2019-03-17,2019-03-01
2019-03-18 01:30:00,"Pad kee mau ",2019-03-18,2019-03-17,2019-03-01
2019-03-17 17:10:00,"Eggs Benedict",2019-03-18,2019-03-17,2019-03-01
2019-03-17 17:10:00,"Iced mocha",2019-03-18,2019-03-17,2019-03-01
2019-03-17 06:55:00,"ice cream",2019-03-17,2019-03-17,2019-03-01
2019-03-16 18:10:00,"Coffee",2019-03-17,2019-03-17,2019-03-01
2019-03-16 22:10:00,"Pad kee mau ",2019-03-17,2019-03-17,2019-03-01
2019-03-16 22:10:00,"Thai iced tea",2019-03-17,2019-03-17,2019-03-01
2019-03-16 21:10:00,"Clif bar",2019-03-17,2019-03-17,2019-03-01
2019-03-16 17:00:00,"Israeli salad",2019-03-17,2019-03-17,2019-03-01
2019-03-16 17:00:00,"Coffee",2019-03-17,2019-03-17,2019-03-01
2019-03-16 17:00:00,"Squash",2019-03-17,2019-03-17,2019-03-01
2019-03-16 17:00:00,"Eggplant",2019-03-17,2019-03-17,2019-03-01
2019-03-16 17:00:00,"Eggs",2019-03-17,2019-03-17,2019-03-01
2019-03-16 03:30:00,"Pasta",2019-03-16,2019-03-10,2019-03-01
2019-03-15 20:30:00,"Shawarma wrap",2019-03-16,2019-03-10,2019-03-01
2019-03-15 17:30:00,"Coffee",2019-03-16,2019-03-10,2019-03-01
2019-03-15 16:40:00,"Coffee",2019-03-15,2019-03-10,2019-03-01
2019-04-13 22:30:00,"High Fructose Corn Syrup",2019-04-14,2019-04-14,2019-04-01
2019-04-13 22:30:00,"Phosphoric Acid",2019-04-14,2019-04-14,2019-04-01
2019-04-13 22:30:00,"Caffeine",2019-04-14,2019-04-14,2019-04-01
2019-04-13 22:30:00,"Carbonated Water",2019-04-14,2019-04-14,2019-04-01
2019-04-13 22:30:00,"Caramel Color",2019-04-14,2019-04-14,2019-04-01
2019-04-13 22:30:00,"Natural Flavors",2019-04-14,2019-04-14,2019-04-01
2019-04-12 17:00:00,"Corn",2019-04-13,2019-04-07,2019-04-01
2019-04-12 17:00:00,"Sugar",2019-04-13,2019-04-07,2019-04-01
